,ID,duration,gamePeriod,health,number_alive,time,x,y
3994,2,888,3.5,59.74483871459961,16,20:57:12,2527.47046875,2258.12953125
3995,5,888,3.5,87,16,20:57:12,2032.09953125,1385.71609375
3997,20,889,3.5,100,16,20:57:13,1600.704375,1254.842578125
3998,28,889,3.5,100,16,20:57:13,1980.768125,1242.989453125
3999,30,889,3.5,46.822505950927734,16,20:57:13,1545.9696875,1319.05671875
4000,31,889,3.5,82.19998168945312,16,20:57:13,2438.074375,1096.972890625
4002,72,889,3.5,100,16,20:57:13,1720.859375,1276.47578125
4001,71,889,3.5,100,16,20:57:13,2060.01671875,1419.21734375
4003,61,892,4,100,16,20:57:16,2382.40234375,1262.53328125
4004,75,893,4,100,16,20:57:17,2530.193125,739.564921875
4005,39,893,4,100,16,20:57:17,1908.61578125,1164.876484375
4006,89,893,4,100,16,20:57:17,1734.884375,847.124453125
4007,90,894,4,51.59679412841797,16,20:57:18,1984.81296875,1754.28671875
4008,53,895,4,100,16,20:57:19,2140.87390625,1022.7240625
4009,93,896,4,100,15,20:57:20,2416.06671875,971.458359375
4475,85,896,4,0,16,20:57:20,1622.89390625,1371.54171875
4010,2,898,4,49.03682327270508,15,20:57:22,2530.853125,2194.73140625
4012,85,898,4,0,15,20:57:22,1622.89390625,1371.54171875
4011,5,898,4,90,15,20:57:22,2020.42765625,1368.20265625
4015,31,899,4,82.19998168945312,15,20:57:23,2438.074375,1096.972890625
4016,30,899,4,54.822505950927734,15,20:57:23,1545.9490625,1319.041875
